fold,clinical_net_auc,clinical_net_accuracy,clinical_net_log_loss,clinical_net_n_samples,lightgbm_auc,lightgbm_accuracy,lightgbm_log_loss,lightgbm_n_samples,xgboost_auc,xgboost_accuracy,xgboost_log_loss,xgboost_n_samples,neural_network_auc,neural_network_accuracy,neural_network_log_loss,neural_network_n_samples,logistic_regression_auc,logistic_regression_accuracy,logistic_regression_log_loss,logistic_regression_n_samples,ensemble_auc,ensemble_accuracy,ensemble_log_loss,ensemble_n_samples
0,0.9935387413162919,0.9403642773207991,0.14907878800253418,3404,0.9802689446714379,0.9106933019976499,0.19508727673479062,3404,0.9883844402313723,0.9242068155111633,0.1727859318580241,3404,0.9527762320129356,0.899529964747356,0.24044803671085443,3404,0.839774454882001,0.8398942420681551,0.4225210104471136,3404,0.9843558625298778,0.9103995299647474,0.21651105023117223,3404
1,0.9916135161370945,0.9444770857814336,0.14874755010210328,3404,0.9787469224704192,0.9150998824911868,0.1924841797854581,3404,0.9847980740153631,0.9206815511163338,0.17779496342443013,3404,0.9579588401562549,0.8998237367802585,0.23158086923821736,3404,0.8503626755555433,0.8396004700352526,0.4130075957950409,3404,0.9852447732052289,0.9142185663924794,0.21356480297871422,3404
2,0.9929505068344286,0.945358401880141,0.14617272071057483,3404,0.978207707528711,0.9127497062279671,0.19332629382120417,3404,0.9842664536502987,0.9212690951821386,0.17820235635827958,3404,0.9532774740714249,0.9024676850763808,0.2372037332068147,3404,0.8397154243089971,0.8431257344300822,0.4195002906120428,3404,0.9836098679786413,0.9095182138660399,0.2154977273145251,3404
3,0.9930085017833448,0.9309635722679201,0.15514303573176824,3404,0.978729662068956,0.9068742655699178,0.19975652576333836,3404,0.9874920774757284,0.9153936545240893,0.17802814348127421,3404,0.950231703629241,0.8980611045828437,0.2450739337442789,3404,0.850080985803665,0.8390129259694477,0.41531229950665294,3404,0.9842847496758496,0.904524089306698,0.22010715484658736,3404
4,0.9928372786008304,0.9403642773207991,0.14738020493315093,3404,0.9800576773575292,0.913924794359577,0.19151662559780638,3404,0.9871064801070422,0.9247943595769683,0.17243878457702724,3404,0.9528349173779104,0.8998237367802585,0.24073058435787642,3404,0.8523072323843796,0.8428319623971798,0.4095077474874949,3404,0.98490715975261,0.913924794359577,0.2137737233433868,3404
